transcript cod_idx count
YLR044C 546 5650
YLR044C 547 740
YLR044C 548 848
YLR044C 549 1413
YLR044C 550 0
YLR044C 551 4731
YLR044C 552 2107
YLR044C 553 442
YLR044C 554 6640
YLR044C 555 246
YLR044C 556 71
YLR044C 557 1779
YLR044C 558 447
YLR044C 559 1272
YLR044C 560 317
YLR044C 561 1884
YLR044C 562 1908
YLR044C 563 0
YLR044C 564 0
